# Excitonic eigen energies and oscillator strengths
#
# Momentum transfer Q=G+q in lattice cooridnates
# G:   0   0   0
# q:   0.0000000   0.0000000   0.0000000
# Momentum transfer Q=G+q in Cartesian cooridnates
# G:   0.0000000   0.0000000   0.0000000
# q:   0.0000000   0.0000000   0.0000000
# Norm2(G+q)   0.0000000
#
# Energy scale  27.2113839
# E_shift : -0.1529638416064815E+02
#
#    Nr.                       E               E+E_shift             |Osc. Str.|      Re(Osc. Str. Res.)      Im(Osc. Str. Res.)
     133     21.2310610117735514      5.9346768511254036  0.7475088149661927E-05  0.7475088149661927E-05  0.0000000000000000E+00
     134     21.2706400617444267      5.9742559010962788  0.3096084427389044E-03  0.3096084427389044E-03  0.0000000000000000E+00
     135     21.2728963881531321      5.9765122275049860  0.2364208146307959E-03  0.2364208146307959E-03  0.0000000000000000E+00
     136     21.3209790653853659      6.0245949047372180  0.6458413775615456E-03  0.6458413775615456E-03  0.0000000000000000E+00
     137     21.3427910351580330      6.0464068745098869  0.1038899731139145E-02  0.1038899731139145E-02  0.0000000000000000E+00
     138     21.3869170273399973      6.0905328666918495  0.1832700803212002E-02  0.1832700803212002E-02  0.0000000000000000E+00
     139     21.4492723636866103      6.1528882030384651  0.3199221139723494E-02  0.3199221139723494E-02  0.0000000000000000E+00
     140     21.5092254191571968      6.2128412585090507  0.1128816947172132E-01  0.1128816947172132E-01  0.0000000000000000E+00
     141     21.5419536118728630      6.2455694512247151  0.8799808024332632E-02  0.8799808024332632E-02  0.0000000000000000E+00
     142     21.5630639738026630      6.2666798131545161  0.1007287962627499E-01  0.1007287962627499E-01  0.0000000000000000E+00
     143     21.5887450774791816      6.2923609168310346  0.5161788251959271E-02  0.5161788251959271E-02  0.0000000000000000E+00
     144     21.6655455716496625      6.3691614110015156  0.6592848152148938E-02  0.6592848152148938E-02  0.0000000000000000E+00
     145     21.6780645817464830      6.3816804210983351  0.5753584779133217E-02  0.5753584779133217E-02  0.0000000000000000E+00
     146     21.7126833523634417      6.4162991917152947  0.4110840531913640E-02  0.4110840531913640E-02  0.0000000000000000E+00
     147     21.7533115456126822      6.4569273849645370  0.1380689605216805E-02  0.1380689605216805E-02  0.0000000000000000E+00
     148     21.8150352136661745      6.5186510530180266  0.1343013905606408E-02  0.1343013905606408E-02  0.0000000000000000E+00
     149     21.8494585326102921      6.5530743719621469  0.9636166929253490E-03  0.9636166929253490E-03  0.0000000000000000E+00
     150     21.8664479768057731      6.5700638161576270  0.6269701541096131E-03  0.6269701541096131E-03  0.0000000000000000E+00
