# Loss function L(Q,w) and dynamical structure factor S(Q,w)
#
# L(Q,w)= -Im(1/eps_m(Q,w) [1]
# S(Q,w)= L(Q,w)*|Q|^2*/(4 pi^2 n_val) [Energy^-1]
#
# Momentum transfer Q=G+q in lattice coordinates
# G:   0   0   0
# q:   0.0000000   0.0000000   0.0000000
# Momentum transfer Q=G+q in Cartesian coordinates
# G:   0.0000000   0.0000000   0.0000000
# q:   0.0000000   0.0000000   0.0000000
# Norm2(G+q)   0.0000000
#
#   Frequency/(eV/hbar)                  L(Q,w)             S(Q,w)*1000
+0.1135394991558500E+02 +0.1929181663966123E-01 +0.0000000000000000E+00
+0.1136982322283667E+02 +0.1950515599687545E-01 +0.0000000000000000E+00
+0.1138569653008833E+02 +0.1972284462498185E-01 +0.0000000000000000E+00
+0.1140156983734000E+02 +0.1994501414563053E-01 +0.0000000000000000E+00
+0.1141744314459167E+02 +0.2017180142952678E-01 +0.0000000000000000E+00
+0.1143331645184333E+02 +0.2040334885690236E-01 +0.0000000000000000E+00
+0.1144918975909500E+02 +0.2063980459353136E-01 +0.0000000000000000E+00
+0.1146506306634667E+02 +0.2088132288338149E-01 +0.0000000000000000E+00
+0.1148093637359833E+02 +0.2112806435908166E-01 +0.0000000000000000E+00
+0.1149680968085000E+02 +0.2138019637148245E-01 +0.0000000000000000E+00
+0.1151268298810167E+02 +0.2163789333969449E-01 +0.0000000000000000E+00
+0.1152855629535333E+02 +0.2190133712310387E-01 +0.0000000000000000E+00
+0.1154442960260500E+02 +0.2217071741699334E-01 +0.0000000000000000E+00
+0.1156030290985667E+02 +0.2244623217353674E-01 +0.0000000000000000E+00
+0.1157617621710833E+02 +0.2272808805009027E-01 +0.0000000000000000E+00
+0.1159204952436000E+02 +0.2301650088687069E-01 +0.0000000000000000E+00
+0.1160792283161167E+02 +0.2331169621630069E-01 +0.0000000000000000E+00
+0.1162379613886333E+02 +0.2361390980650541E-01 +0.0000000000000000E+00
+0.1163966944611500E+02 +0.2392338824167164E-01 +0.0000000000000000E+00
+0.1165554275336667E+02 +0.2424038954223438E-01 +0.0000000000000000E+00
+0.1167141606061833E+02 +0.2456518382813105E-01 +0.0000000000000000E+00
+0.1168728936787000E+02 +0.2489805402867500E-01 +0.0000000000000000E+00
+0.1170316267512167E+02 +0.2523929664293875E-01 +0.0000000000000000E+00
+0.1171903598237333E+02 +0.2558922255492195E-01 +0.0000000000000000E+00
+0.1173490928962500E+02 +0.2594815790819741E-01 +0.0000000000000000E+00
+0.1175078259687667E+02 +0.2631644504520445E-01 +0.0000000000000000E+00
+0.1176665590412833E+02 +0.2669444351688166E-01 +0.0000000000000000E+00
+0.1178252921138000E+02 +0.2708253116892047E-01 +0.0000000000000000E+00
+0.1179840251863167E+02 +0.2748110531157909E-01 +0.0000000000000000E+00
+0.1181427582588333E+02 +0.2789058398073163E-01 +0.0000000000000000E+00
+0.1183014913313500E+02 +0.2831140729865564E-01 +0.0000000000000000E+00
+0.1184602244038667E+02 +0.2874403894399142E-01 +0.0000000000000000E+00
+0.1186189574763833E+02 +0.2918896774134948E-01 +0.0000000000000000E+00
+0.1187776905489000E+02 +0.2964670938222531E-01 +0.0000000000000000E+00
+0.1189364236214167E+02 +0.3011780829020660E-01 +0.0000000000000000E+00
+0.1190951566939333E+02 +0.3060283964496508E-01 +0.0000000000000000E+00
+0.1192538897664500E+02 +0.3110241158122148E-01 +0.0000000000000000E+00
+0.1194126228389667E+02 +0.3161716758080202E-01 +0.0000000000000000E+00
+0.1195713559114833E+02 +0.3214778907808516E-01 +0.0000000000000000E+00
+0.1197300889840000E+02 +0.3269499830161644E-01 +0.0000000000000000E+00
+0.1198888220565167E+02 +0.3325956137748427E-01 +0.0000000000000000E+00
+0.1200475551290333E+02 +0.3384229172323990E-01 +0.0000000000000000E+00
+0.1202062882015500E+02 +0.3444405376478136E-01 +0.0000000000000000E+00
+0.1203650212740667E+02 +0.3506576701273682E-01 +0.0000000000000000E+00
+0.1205237543465833E+02 +0.3570841053956032E-01 +0.0000000000000000E+00
+0.1206824874191000E+02 +0.3637302790384538E-01 +0.0000000000000000E+00
+0.1208412204916167E+02 +0.3706073257433966E-01 +0.0000000000000000E+00
+0.1209999535641333E+02 +0.3777271391287133E-01 +0.0000000000000000E+00
+0.1211586866366500E+02 +0.3851024378291476E-01 +0.0000000000000000E+00
+0.1213174197091667E+02 +0.3927468385887976E-01 +0.0000000000000000E+00
+0.1214761527816833E+02 +0.4006749372036299E-01 +0.0000000000000000E+00
+0.1216348858542000E+02 +0.4089023982549726E-01 +0.0000000000000000E+00
+0.1217936189267167E+02 +0.4174460546796103E-01 +0.0000000000000000E+00
+0.1219523519992333E+02 +0.4263240183281363E-01 +0.0000000000000000E+00
+0.1221110850717500E+02 +0.4355558027645576E-01 +0.0000000000000000E+00
+0.1222698181442667E+02 +0.4451624596464525E-01 +0.0000000000000000E+00
+0.1224285512167833E+02 +0.4551667300798213E-01 +0.0000000000000000E+00
+0.1225872842893000E+02 +0.4655932123406116E-01 +0.0000000000000000E+00
+0.1227460173618167E+02 +0.4764685472572269E-01 +0.0000000000000000E+00
+0.1229047504343333E+02 +0.4878216222975167E-01 +0.0000000000000000E+00
+0.1230634835068500E+02 +0.4996837949145873E-01 +0.0000000000000000E+00
+0.1232222165793667E+02 +0.5120891348551121E-01 +0.0000000000000000E+00
+0.1233809496518833E+02 +0.5250746837443074E-01 +0.0000000000000000E+00
+0.1235396827244000E+02 +0.5386807280852297E-01 +0.0000000000000000E+00
+0.1236984157969167E+02 +0.5529510785047636E-01 +0.0000000000000000E+00
+0.1238571488694333E+02 +0.5679333431909282E-01 +0.0000000000000000E+00
+0.1240158819419500E+02 +0.5836791764198050E-01 +0.0000000000000000E+00
+0.1241746150144667E+02 +0.6002444731873850E-01 +0.0000000000000000E+00
+0.1243333480869833E+02 +0.6176894675467107E-01 +0.0000000000000000E+00
+0.1244920811595000E+02 +0.6360786747994279E-01 +0.0000000000000000E+00
+0.1246508142320167E+02 +0.6554805963142621E-01 +0.0000000000000000E+00
+0.1248095473045333E+02 +0.6759670819148511E-01 +0.0000000000000000E+00
+0.1249682803770500E+02 +0.6976122224877593E-01 +0.0000000000000000E+00
+0.1251270134495667E+02 +0.7204906327345112E-01 +0.0000000000000000E+00
+0.1252857465220833E+02 +0.7446749943593410E-01 +0.0000000000000000E+00
+0.1254444795946000E+02 +0.7702327829251530E-01 +0.0000000000000000E+00
+0.1256032126671167E+02 +0.7972222204324104E-01 +0.0000000000000000E+00
+0.1257619457396333E+02 +0.8256877015565191E-01 +0.0000000000000000E+00
+0.1259206788121500E+02 +0.8556552442637430E-01 +0.0000000000000000E+00
+0.1260794118846667E+02 +0.8871289044485596E-01 +0.0000000000000000E+00
+0.1262381449571833E+02 +0.9200895293574013E-01 +0.0000000000000000E+00
+0.1263968780297000E+02 +0.9544976167765948E-01 +0.0000000000000000E+00
+0.1265556111022167E+02 +0.9903022054100839E-01 +0.0000000000000000E+00
+0.1267143441747333E+02 +0.1027457292237477E+00 +0.0000000000000000E+00
+0.1268730772472500E+02 +0.1065945809346322E+00 +0.0000000000000000E+00
+0.1270318103197667E+02 +0.1105808551805690E+00 +0.0000000000000000E+00
+0.1271905433922833E+02 +0.1147172380999635E+00 +0.0000000000000000E+00
+0.1273492764648000E+02 +0.1190270300339679E+00 +0.0000000000000000E+00
+0.1275080095373167E+02 +0.1235447372388814E+00 +0.0000000000000000E+00
+0.1276667426098333E+02 +0.1283151010021695E+00 +0.0000000000000000E+00
+0.1278254756823500E+02 +0.1333909746364740E+00 +0.0000000000000000E+00
+0.1279842087548667E+02 +0.1388308160564262E+00 +0.0000000000000000E+00
+0.1281429418273833E+02 +0.1446965636669195E+00 +0.0000000000000000E+00
+0.1283016748999000E+02 +0.1510523816370283E+00 +0.0000000000000000E+00
+0.1284604079724167E+02 +0.1579644010450167E+00 +0.0000000000000000E+00
+0.1286191410449333E+02 +0.1655013160822125E+00 +0.0000000000000000E+00
+0.1287778741174500E+02 +0.1737355779504236E+00 +0.0000000000000000E+00
+0.1289366071899667E+02 +0.1827449321899806E+00 +0.0000000000000000E+00
